Source,Target,Type
8378384300,6507667256,Undirected
54386925600,57194614861,Undirected
54386925600,7005915405,Undirected
57194614861,54386925600,Undirected
57194614861,7005915405,Undirected
7005915405,54386925600,Undirected
7005915405,57194614861,Undirected
56228715900,57208740826,Undirected
57208740826,56228715900,Undirected
6507667256,8378384300,Undirected
54790571900,7004607719,Undirected
35607315000,7003611288,Undirected
35607315000,35892704700,Undirected
35607315000,7005998786,Undirected
7004607719,54790571900,Undirected
57191605505,7003611288,Undirected
57191605505,7005998786,Undirected
7003611288,57191605505,Undirected
7003611288,7005998786,Undirected
7003611288,35607315000,Undirected
7003611288,35892704700,Undirected
7005998786,57191605505,Undirected
7005998786,7003611288,Undirected
7005998786,35892704700,Undirected
7005998786,35607315000,Undirected
14039835700,7006194463,Undirected
7006194463,14039835700,Undirected
35892704700,35607315000,Undirected
35892704700,7003611288,Undirected
35892704700,7005998786,Undirected
