property,activation,layer,loss,accuracy
%E,tanh,1,0.5239,0.517
%E,tanh,2,0.3218,0.7033
%E,tanh,3,0.2903,0.7323
%E,tanh,4,0.2718,0.7494
%E,tanh,5,0.2588,0.7614
%E,tanh,6,0.2274,0.7903
%E,tanh,7,0.2303,0.7877
%E,tanh,8,0.2193,0.7978
%E,tanh,9,0.2157,0.8011
%E,tanh,10,0.2183,0.7987
%E,tanh,11,0.1997,0.8159
%E,tanh,12,0.2188,0.7983
%E,tanh,13,0.1979,0.8175
%E,tanh,14,0.2006,0.815
%E,tanh,15,0.1979,0.8175
%E,tanh,16,0.1976,0.8178
%E,tanh,17,0.2052,0.8108
%E,tanh,18,0.2184,0.7986
%E,tanh,19,0.2438,0.7752
%E,tanh,20,0.2012,0.8145
%E,tanh,21,0.2353,0.7831
%E,tanh,22,0.2585,0.7617
%E,tanh,23,0.2008,0.8149
%E,tanh,24,0.2025,0.8133
%E,relu,1,1.0313,0.0492
%E,relu,2,0.4498,0.5853
%E,relu,3,0.4450,0.5897
%E,relu,4,0.4276,0.6057
%E,relu,5,0.3380,0.6884
%E,relu,6,0.2510,0.7686
%E,relu,7,0.2548,0.7651
%E,relu,8,0.2216,0.7956
%E,relu,9,0.2391,0.7796
%E,relu,10,0.2202,0.797
%E,relu,11,0.2645,0.7562
%E,relu,12,0.2429,0.776
%E,relu,13,0.2360,0.7824
%E,relu,14,0.2386,0.78
%E,relu,15,0.2418,0.7771
%E,relu,16,0.2162,0.8007
%E,relu,17,0.2214,0.7959
%E,relu,18,0.2350,0.7833
%E,relu,19,0.2888,0.7337
%E,relu,20,0.2531,0.7667
%E,relu,21,0.1988,0.8167
%E,relu,22,0.2179,0.7991
%E,relu,23,0.2185,0.7985
%E,relu,24,0.2307,0.7873
%E,leaky,1,0.5616,0.4822
%E,leaky,2,0.4495,0.5855
%E,leaky,3,0.4450,0.5897
%E,leaky,4,0.4263,0.607
%E,leaky,5,0.3460,0.681
%E,leaky,6,0.2594,0.7608
%E,leaky,7,0.2547,0.7652
%E,leaky,8,0.2403,0.7784
%E,leaky,9,0.2572,0.7628
%E,leaky,10,0.2559,0.764
%E,leaky,11,0.2427,0.7763
%E,leaky,12,0.1976,0.8178
%E,leaky,13,0.2347,0.7836
%E,leaky,14,0.2371,0.7814
%E,leaky,15,0.2542,0.7656
%E,leaky,16,0.2320,0.7861
%E,leaky,17,0.2350,0.7834
%E,leaky,18,0.2294,0.7885
%E,leaky,19,0.2371,0.7814
%E,leaky,20,0.2982,0.7251
%E,leaky,21,0.1929,0.8221
%E,leaky,22,0.2304,0.7875
%E,leaky,23,0.2287,0.7891
%E,leaky,24,0.2708,0.7503
%E,sigmoid,1,0.5129,0.5271
%E,sigmoid,2,0.3054,0.7185
%E,sigmoid,3,0.2849,0.7374
%E,sigmoid,4,0.2655,0.7553
%E,sigmoid,5,0.2278,0.7899
%E,sigmoid,6,0.2836,0.7386
%E,sigmoid,7,0.2284,0.7894
%E,sigmoid,8,0.2382,0.7803
%E,sigmoid,9,0.2082,0.808
%E,sigmoid,10,0.2011,0.8146
%E,sigmoid,11,0.2083,0.808
%E,sigmoid,12,0.2001,0.8155
%E,sigmoid,13,0.2046,0.8114
%E,sigmoid,14,0.2080,0.8082
%E,sigmoid,15,0.2098,0.8066
%E,sigmoid,16,0.1772,0.8366
%E,sigmoid,17,0.1927,0.8223
%E,sigmoid,18,0.2457,0.7734
%E,sigmoid,19,0.2035,0.8124
%E,sigmoid,20,0.2279,0.7899
%E,sigmoid,21,0.1984,0.817
%E,sigmoid,22,0.2289,0.7889
%E,sigmoid,23,0.2193,0.7978
%E,sigmoid,24,0.2041,0.8118
